#           k/h    P           
    0.65029E+00    0.21973E+01
    0.66342E+00    0.21015E+01
    0.67683E+00    0.20097E+01
    0.69050E+00    0.19217E+01
    0.70445E+00    0.18373E+01
    0.71868E+00    0.17564E+01
    0.73320E+00    0.16789E+01
    0.74801E+00    0.16047E+01
    0.76312E+00    0.15335E+01
    0.77854E+00    0.14654E+01
    0.79426E+00    0.14002E+01
    0.81031E+00    0.13377E+01
    0.82668E+00    0.12779E+01
    0.84338E+00    0.12207E+01
    0.86041E+00    0.11659E+01
    0.87780E+00    0.11135E+01
    0.89553E+00    0.10634E+01
    0.91362E+00    0.10154E+01
    0.93208E+00    0.96957E+00
    0.95091E+00    0.92570E+00
    0.97011E+00    0.88374E+00
    0.98971E+00    0.84362E+00
    0.10097E+01    0.80525E+00
    0.10301E+01    0.76857E+00
    0.10509E+01    0.73351E+00
    0.10721E+01    0.69999E+00
    0.10938E+01    0.66795E+00
    0.11159E+01    0.63733E+00
    0.11384E+01    0.60807E+00
    0.11614E+01    0.58010E+00
    0.11849E+01    0.55339E+00
    0.12088E+01    0.52786E+00
    0.12333E+01    0.50347E+00
    0.12582E+01    0.48018E+00
    0.12836E+01    0.45793E+00
    0.13095E+01    0.43668E+00
    0.13360E+01    0.41638E+00
    0.13630E+01    0.39700E+00
    0.13905E+01    0.37849E+00
    0.14186E+01    0.36082E+00
    0.14472E+01    0.34395E+00
    0.14765E+01    0.32784E+00
    0.15063E+01    0.31246E+00
    0.15367E+01    0.29778E+00
    0.15678E+01    0.28377E+00
    0.15994E+01    0.27039E+00
    0.16318E+01    0.25763E+00
    0.16647E+01    0.24545E+00
    0.16984E+01    0.23383E+00
    0.17327E+01    0.22274E+00
    0.17677E+01    0.21216E+00
    0.18034E+01    0.20207E+00
    0.18398E+01    0.19244E+00
    0.18770E+01    0.18326E+00
    0.19149E+01    0.17451E+00
    0.19536E+01    0.16617E+00
    0.19930E+01    0.15822E+00
    0.20333E+01    0.15065E+00
    0.20744E+01    0.14343E+00
    0.21163E+01    0.13655E+00
    0.21590E+01    0.13000E+00
    0.22026E+01    0.12376E+00
    0.22471E+01    0.11782E+00
    0.22925E+01    0.11216E+00
    0.23388E+01    0.10677E+00
    0.23861E+01    0.10164E+00
